sku_id,origin,date,actual,prediction,method
SKU-1007,2026-05-13,2026-05-27,1284.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-14,484.0,497.0,seasonal7
SKU-1007,2026-05-13,2026-05-15,430.0,597.0,seasonal7
SKU-1007,2026-05-13,2026-05-16,339.0,451.0,seasonal7
SKU-1007,2026-05-13,2026-05-17,463.0,393.0,seasonal7
SKU-1007,2026-05-13,2026-05-18,607.0,570.0,seasonal7
SKU-1007,2026-05-13,2026-05-19,688.0,706.0,seasonal7
SKU-1007,2026-05-13,2026-05-20,479.0,514.0,seasonal7
SKU-1007,2026-05-13,2026-05-21,545.0,497.0,seasonal7
SKU-1007,2026-05-13,2026-05-22,587.0,597.0,seasonal7
SKU-1007,2026-05-13,2026-05-23,324.0,451.0,seasonal7
SKU-1007,2026-05-13,2026-05-24,461.0,393.0,seasonal7
SKU-1007,2026-05-13,2026-05-25,397.0,570.0,seasonal7
SKU-1007,2026-05-13,2026-05-26,460.0,706.0,seasonal7
SKU-1007,2026-05-13,2026-05-27,1284.0,514.0,seasonal7
SKU-1007,2026-05-13,2026-05-14,484.0,525.040223266674,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-15,430.0,467.5453559988099,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-16,339.0,446.9211396523003,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-17,463.0,452.95275009326065,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-18,607.0,496.2441476130568,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-19,688.0,585.7454638337591,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-20,479.0,476.30091954213947,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-21,545.0,525.040223266674,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-22,587.0,467.5453559988099,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-23,324.0,446.9211396523003,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-24,461.0,452.95275009326065,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-25,397.0,496.2441476130568,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-26,460.0,585.7454638337591,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-27,1284.0,476.30091954213947,weekday_shrinkage
SKU-1008,2026-05-13,2026-05-14,86.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-15,87.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-16,67.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-17,89.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-18,71.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-19,102.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-20,81.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-21,91.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-22,91.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-23,72.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-24,95.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-25,75.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-26,89.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-27,95.0,88.11111111111111,mean28
SKU-1008,2026-05-13,2026-05-14,86.0,73.0,seasonal7
SKU-1008,2026-05-13,2026-05-15,87.0,88.0,seasonal7
SKU-1008,2026-05-13,2026-05-16,67.0,57.0,seasonal7
SKU-1008,2026-05-13,2026-05-17,89.0,88.0,seasonal7
SKU-1008,2026-05-13,2026-05-18,71.0,111.0,seasonal7
SKU-1008,2026-05-13,2026-05-19,102.0,89.0,seasonal7
SKU-1008,2026-05-13,2026-05-20,81.0,115.0,seasonal7
SKU-1008,2026-05-13,2026-05-21,91.0,73.0,seasonal7
SKU-1008,2026-05-13,2026-05-22,91.0,88.0,seasonal7
SKU-1008,2026-05-13,2026-05-23,72.0,57.0,seasonal7
SKU-1008,2026-05-13,2026-05-24,95.0,88.0,seasonal7
SKU-1008,2026-05-13,2026-05-25,75.0,111.0,seasonal7
SKU-1008,2026-05-13,2026-05-26,89.0,89.0,seasonal7
SKU-1008,2026-05-13,2026-05-27,95.0,115.0,seasonal7
SKU-1008,2026-05-13,2026-05-14,86.0,98.48951165632639,weekday_shrinkage
SKU-1008,2026-05-13,2026-05-15,87.0,86.46097608914867,weekday_shrinkage
